"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Date exited ""Attempting (Lead pipeline)""","hs_v2_date_exited_attempting_stage_id_745667965","datetime","The date and time when the lead exited the 'Attempting' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Date exited ""Connected (Lead pipeline)""","hs_v2_date_exited_connected_stage_id_2058487257","datetime","The date and time when the lead exited the 'Connected' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Date exited ""New (Lead pipeline)""","hs_v2_date_exited_new_stage_id_1318266061","datetime","The date and time when the lead exited the 'New' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Date exited ""Accepted (Lead pipeline)""","hs_v2_date_exited_qualified_stage_id_233247981","datetime","The date and time when the lead exited the 'Accepted' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Date exited ""Disqualified (Lead pipeline)""","hs_v2_date_exited_unqualified_stage_id_1675714327","datetime","The date and time when the lead exited the 'Disqualified' stage, 'Lead pipeline' pipeline","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Latest time in ""Attempting (Lead pipeline)""","hs_v2_latest_time_in_attempting_stage_id_745667965","number","The total time in seconds spent by the lead in the 'Attempting' stage, 'Lead pipeline' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Latest time in ""Connected (Lead pipeline)""","hs_v2_latest_time_in_connected_stage_id_2058487257","number","The total time in seconds spent by the lead in the 'Connected' stage, 'Lead pipeline' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Latest time in ""New (Lead pipeline)""","hs_v2_latest_time_in_new_stage_id_1318266061","number","The total time in seconds spent by the lead in the 'New' stage, 'Lead pipeline' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Latest time in ""Accepted (Lead pipeline)""","hs_v2_latest_time_in_qualified_stage_id_233247981","number","The total time in seconds spent by the lead in the 'Accepted' stage, 'Lead pipeline' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot",""
"Latest time in ""Disqualified (Lead pipeline)""","hs_v2_latest_time_in_unqualified_stage_id_1675714327","number","The total time in seconds spent by the lead in the 'Disqualified' stage, 'Lead pipeline' pipeline since it last entered this stage","leadstages","false","","true","true","false","false","false","true","HubSpot",""
