"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages"
"Audit Required","audit_required","enumeration","","dealinformation","true","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry","Report (1)"
"CFO Product Attachment","cfo_product_attachment","number","","dealinformation","false","","true","false","true","false","false","false","Brandon Dith-Berry","Report (6)"
"Customer Kickoff Scheduling Link","client_kickoff_scheduling_link","string","","dealinformation","true","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Properties v3 card (1)"
"Close Quarter","close_quarter","number","","dealinformation","true","","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1)"
"Closed Lost Reasons","closed_lost_reason","string","Reason why this deal was lost","dealinformation","false","","false","false","false","false","false","true","HubSpot","Inbounddb lists (1); Report (2); Sales view (15); Controlling pipeline stage field (1)"
"Closed Without Quote","closed_without_quote","enumeration","","dealinformation","true","[{""label"":""Yes"",""value"":""true"",""displayOrder"":0,""hidden"":false,""readOnly"":false},{""label"":""No"",""value"":""false"",""displayOrder"":1,""hidden"":false,""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry","Properties v3 card (1)"
"Closed Won Reason","closed_won_reason","string","Reason why this deal was won","dealinformation","false","","false","false","false","false","false","true","HubSpot","Sales view (9); Properties v3 card (1); Controlling pipeline stage field (2)"
"Close Date","closedate","datetime","The expected close date of the deal","dealinformation","false","","false","true","false","false","false","true","HubSpot","Calculated property (2); Inbounddb lists (6); Automation platform flow (7); Object requirement (1); Report (409); Pipeline board view (3); Dataset (4); Sales view (54); Association table card (1); Dashboard (1); Properties v3 card (1); Controlling pipeline stage field (3)"
"Create Date","createdate","datetime","The date the deal was created. This property is set automatically by HubSpot.","dealinformation","false","","false","true","false","false","false","true","HubSpot","Calculated property (1); Rollup property (1); Inbounddb lists (4); Automation platform flow (13); Report (319); Dataset (3); Sales view (52); Association table card (1); Properties v3 card (1)"
"Existing Business Source","cross_sell_source","enumeration","","dealinformation","true","[{""label"":""Controller"",""value"":""Controller"",""displayOrder"":0,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Customer Success"",""value"":""Customer Success"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Marketing"",""value"":""Marketing"",""displayOrder"":2,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Account Executive"",""value"":""account_executive"",""displayOrder"":3,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false}]","false","false","false","false","false","false","Brandon Dith-Berry","Automation platform flow (1); Dependent conditional field (5); Controlling conditional field (4); Controlling conditional options field (6); Properties v3 card (1)"
